lake_name,lake_name_note,lon,lat,state_province,year,year_note,source,source_note,long_source,lat_source,intro_no,fish,fish_note,amount,amount_note,established,year_established,effect_note,effect_note,importance,about,joinID
Huntington Lake,,-119.2,37.24,California,1963,,Green Lake,,-88.96,43.844,1,trout,,20000,,yes,,,,1,,1008
Lake Tahoe,,-120.03,39.09,California,1963,,Waterton Lake ,,-113.9,48.98,1,lake,,82650,,yes,1969,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. Decrease in abundance of Lake Trout. Decrease in size of Lake Trout.,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. Decrease in abundance of Lake Trout. Decrease in size of Lake Trout.,1,,1182
Lower Echo Lake,,-120.06,38.84,California,1963,,Waterton Lake ,,-113.9,48.98,1,trout,,15000,,yes,,,,,,1186
Lake Tahoe,,-120.03,39.09,California,1964,,Waterton Lake ,,-113.9,48.98,2,lake,,58650,,,,,,,,1183
Lake Tahoe,,-120.03,39.09,California,1965,,Waterton Lake ,,-113.9,48.98,3,lake,,167700,,,,,,,,1184
Donner Lake,,-120.27,39.32,California,1965,,Waterton Lake ,,-113.9,48.98,1,trout,,26000,,yes,,Virtual disappearance of Daphnia species (zooplankton).,Virtual disappearance of Daphnia species (zooplankton).,,,1177
Fallen Leaf Lake,,-120.06,38.9,California,1965,,Waterton Lake ,,-113.9,48.98,1,trout,,30000,,yes,,Virtual disappearance of Daphnia species (zooplankton).,Virtual disappearance of Daphnia species (zooplankton).,,,1178
Lower Echo Lake,,-120.06,38.84,California,1965,,Waterton Lake ,,-113.9,48.98,2,trout,,12000,,,,,,,,1187
Kangaroo Lake,,-122.78,41.23,California,1967,,Waterton Lake ,,-113.9,48.98,1,lake,,28100,,,,,,,,1181
Shasta Lake,,-122.37,40.77,California,1967,,Waterton Lake ,,-113.9,48.98,1,lake,,223150,,yes,,,,,,1195
Trinity Lake,Claire Engle Lake; Claire Eagle Lake,-122.75,40.8,California,1967,,Waterton Lake ,,-113.9,48.98,1,lake,,16400,,,,,,,,1199
Whiskeytown Lake,,-122.56,40.63,California,1967,,Waterton Lake ,,-113.9,48.98,1,lake,,3250,,,,,,,,1206
Patterson Lake,,-120.22,41.38,California,1968,,Waterton Lake ,,-113.9,48.98,1,trout,,107730,,,,,,,,1192
Twin Lakes Reservoir,Upper and Lower Twin Lakes,-106.33,39.08,Colorado,1957,,Clearwater Lake,,-94.1,45.29,1,lake,Primarily lake trout but also kokanee and other trout.,750,,yes,1969,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,1,"""In 1957 Colorado fisheries managers introduced mysis shrimp into Twin Lakes. This was the first site of a mysis shrimp introduction in the United States. (At the time Twin Lakes was a natural lake. But in 1978 the Bureau of Reclamation dammed the outlet and formed Twin Lakes Reservoir.) Robert Pennak, a well-known expert on invertebrate freshwater organisms, first suggested introducing mysis shrimp for fish food in 1951. The 1957, fisheries workers dumped a thermos-full of mysis shrimp from Green Lake, Wisconsin into Twin Lakes. In describing the transplant, lead biologist W.D. Klein emphasized lake trout as a target species, but also mentioned that kokanee might benefit. Like many other experimental plants, the mysis shrimp were largely forgotten until a state biologist surveying the lakes in 1968 found the lakes teeming with them.  Biologists quickly deemed a huge success, based both on the establishment of mysids and the extensive use of them as food by lake trout. Beginning in 1970, the mysis population in Twin Lakes was used for transplants to 57 lakes in at least four states."" ",1002
Big Creek Lake,,-106.73,40.66,Colorado,1969,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,1991,,,,,1091
Grand Lake,,-105.81,40.24,Colorado,1969,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,1,,1116
Chapman Reservoir,Chapman Dam,-106.64,39.32,Colorado,1970,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1100
Diemer Lake,,-106.61,39.33,Colorado,1970,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1109
Dillon Reservoir,,-106.05,39.6,Colorado,1970,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,1978,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,,,1110
Ivanhoe Lake,,-106.5,39.27,Colorado,1970,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1121
Ruedi Reservoir,,-106.8,39.37,Colorado,1970,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,,,,,,1142
Sellar Lake,,-106.59,39.32,Colorado,1970,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1143
Lake Granby,,-105.86,40.16,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,kokanee,,,,yes,1986,Decline/changes in Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,Decline/changes in Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,,,1124
Aqua Fria Lake,,-106.64,40.63,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1090
Big Creek Lake,,-106.73,40.66,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,2,lake,,,,,,,,,,1092
Blue Lake (CO),,-106.62,40.82,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1095
Chambers Lake,,-105.85,40.6,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1099
Cheesman Lake,,-105.28,39.2,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,no,,not_established,Not established.,,,1101
Clear Creek Reservoir,,-106.25,39.02,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1104
Forest Lakes,,-105.67,39.92,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1114
Gross Reservoir,,-105.36,39.95,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,1993,,,,,1118
Kelly Lake,,-105.96,40.63,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1123
Little Echo Lake,,-105.67,39.86,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1132
Lost Man Reservoir,Lost Man Lake,-106.62,39.13,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1133
Peggy Lake,,-106.64,40.83,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1137
Rainbow Lake,,-106.63,40.65,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1139
Rawah Lakes,Rawah Lake Number 4,-105.96,40.68,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1140
Roxy Ann Lake,,-106.65,40.67,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1141
Sugarbowl Lake,,-105.97,40.7,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1146
Timberline Lake,,-105.68,40.6,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1149
Upper Camp Lake,,-105.92,40.68,Colorado,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1151
Big Creek Lake,,-106.73,40.66,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,3,lake,,,,,,,,,,1093
Blodgett Lake,,-106.54,39.41,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1094
Bowl of Tears Lake,,-106.47,39.46,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1096
Chalk Lake,,-106.22,39.38,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1098
Cheesman Lake,,-105.28,39.2,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,2,lake,,,,,,,,,,1102
Crater Lakes,,-105.68,39.9,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1105
Crystal Pond,,-106.11,39.44,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1106
Deckers Lake,,-106.41,39.33,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1107
Deep Lake,,-107.3,39.77,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1108
Gold Dust Lakes,Gold Dust Lakes 1-5,-106.58,39.49,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1115
Homestake Reservoir,,-106.47,39.36,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1120
Jefferson Lake,,-105.86,39.46,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,,,,,,1122
New York Lake,,-106.6,39.49,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1135
Pierre Lakes,,-107.07,39.14,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1138
Silver King Lake,,-106.37,38.91,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1144
Turquoise Lake,,-106.37,39.27,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,1983,,,,,1150
Willis Lake,,-106.44,39.02,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1152
Taylor Park Reservoir,,-106.58,38.84,Colorado,1973,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,1984,,,,,1147
Cheesman Lake,,-105.28,39.2,Colorado,1974,,Twin Lakes Reservoir,,-106.33,39.08,3,lake,,,,,,,,,,1103
Green Mountain Reservoir,,-106.3,39.88,Colorado,1974,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,no,,not_established,Not established.,,,1117
Stillwater Reservoir,,-107.13,40.02,Colorado,1974,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1145
Taylor Park Reservoir,,-106.58,38.84,Colorado,1974,,Twin Lakes Reservoir,,-106.33,39.08,2,lake,,,,,,,,,,1148
Carter Lake Reservoir,,-105.22,40.34,Colorado,1980,Date for introduction is approximate.,Grand Lake,Intermountain diversions,-105.81,40.24,1,unintentional,, ,,yes,1986,,,,,1003
Horsetooth Reservoir,,-105.16,40.56,Colorado,1980,Date for introduction is approximate.,Grand Lake,Intermountain diversions,-105.81,40.24,1,unintentional,,,,no,,not_established,Not established.,,,1004
Lake Estes,,-105.5,40.38,Colorado,1980,Date for introduction is approximate.,Grand Lake,Intermountain diversions,-105.81,40.24,1,unintentional,, ,,yes,,,,,,1005
Mary Lake,Mary's Lake,-104.86,39.82,Colorado,1980,Date for introduction is approximate.,Grand Lake,Intermountain diversions,-105.81,40.24,1,unintentional,, ,,yes,,,,,,1006
Shadow Mountain Lake,,-105.84,40.23,Colorado,1980,Date for introduction is approximate.,Grand Lake,Intermountain diversions,-105.81,40.24,1,unintentional,, ,,yes,,,,,,1007
Anderson Ranch Reservoir,,-115.36,43.4,Idaho,1965,,Waterton Lake,,-113.9,48.98,1,kokanee,,30000,,,,,,,,1156
Priest Lake,,-116.87,48.59,Idaho,1965,,Waterton Lake ,,-113.9,48.98,1,kokanee,,295000,,yes,1969,,,1,,1193
Redfish Lake,,-114.93,44.12,Idaho,1966,,Kootenay Lake,,-116.87,49.6,1,kokanee,,50000,,,,,,,,1042
Anderson Ranch Reservoir,,-115.36,43.4,Idaho,1966,,Kootenay Lake,,-116.87,49.6,2,kokanee,,100000,,,,,,,,1011
Alturas Lake,,-114.86,43.91,Idaho,1966,,Waterton Lake,,-113.9,48.98,1,kokanee,,50000,,,,,,,,1155
Lake Pend Oreille,,-116.33,48.18,Idaho,1966,,Waterton Lake,,-113.9,48.98,1,kokanee,,50000,,yes,1973,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. ,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. ,1,,1163
Payette Lake,,-116.09,44.95,Idaho,1966,,Waterton Lake,,-113.9,48.98,1,kokanee,,100000,,,,,,,,1165
Stanley Lake,,-115.06,44.24,Idaho,1966,,Waterton Lake,,-113.9,48.98,1,kokanee,,50000,,,,,,,,1166
Priest Lake,,-116.87,48.59,Idaho,1966,,Waterton Lake ,,-113.9,48.98,2,kokanee,,400000,,,,,,1,,1194
Lake Pend Oreille,,-116.33,48.18,Idaho,1967,,Kootenay Lake,,-116.87,49.6,2,kokanee,,210000,,,,,,,,1027
Payette Lake,,-116.09,44.95,Idaho,1967,,Kootenay Lake,,-116.87,49.6,2,kokanee,,100000,,,,,,,,1036
Pettit Lake,,-114.88,43.98,Idaho,1967,,Kootenay Lake,,-116.87,49.6,1,kokanee,,40000,,,,,,,,1038
Priest Lake,,-116.87,48.59,Idaho,1967,,Kootenay Lake,,-116.87,49.6,3,kokanee,,300000,,,,,,,,1041
Redfish Lake,,-114.93,44.12,Idaho,1967,,Kootenay Lake,,-116.87,49.6,2,kokanee,,60000,,,,,,,,1043
Stanley Lake,,-115.06,44.24,Idaho,1967,,Kootenay Lake,,-116.87,49.6,2,kokanee,,40000,,,,,,,,1047
Alturas Lake,,-114.86,43.91,Idaho,1967,,Kootenay Lake,,-116.87,49.6,2,kokanee,,60000,,,,,,,,1009
Anderson Ranch Reservoir,,-115.36,43.4,Idaho,1967,,Kootenay Lake,,-116.87,49.6,3,kokanee,,100000,,,,,,,,1012
Coeur D Alene Lake,,-116.8,47.54,Idaho,1968,,Kootenay Lake,,-116.87,49.6,1,kokanee,,200000,,no,,not_established,Not established.,2,,1017
Lake Pend Oreille,,-116.33,48.18,Idaho,1968,,Kootenay Lake,,-116.87,49.6,3,kokanee,,300000,,,,,,,,1028
Palisades Reservoir,,-111.11,43.23,Idaho,1968,,Kootenay Lake,,-116.87,49.6,1,kokanee,,115500,,,,,,,,1034
Payette Lake,,-116.09,44.95,Idaho,1968,,Kootenay Lake,,-116.87,49.6,3,kokanee,,94500,,,,,,,,1037
Redfish Lake,,-114.93,44.12,Idaho,1968,,Kootenay Lake,,-116.87,49.6,3,kokanee,,52500,,,,,,,,1044
Stanley Lake,,-115.06,44.24,Idaho,1968,,Kootenay Lake,,-116.87,49.6,3,kokanee,,31500,,,,,,,,1048
Upper Priest Lake,,-116.89,48.78,Idaho,1968,,Kootenay Lake,,-116.87,49.6,1,kokanee,,100000,,yes,1973,,,,,1053
Alturas Lake,,-114.86,43.91,Idaho,1968,,Kootenay Lake,,-116.87,49.6,3,kokanee,,42000,,,,,,,,1010
Coeur D Alene Lake,,-116.8,47.54,Idaho,1969,,Kootenay Lake,,-116.87,49.6,2,kokanee,,100000,,,,,,,,1018
Palisades Lake,,-113.58,47.69,Idaho,1969,,Kootenay Lake,,-116.87,49.6,1,kokanee,,40000,,,,,,,,1033
Palisades Reservoir,,-111.11,43.23,Idaho,1969,,Kootenay Lake,,-116.87,49.6,2,kokanee,,210000,,,,,,,,1035
Upper Payette Lake,,-116.02,45.13,Idaho,1969,,Kootenay Lake,,-116.87,49.6,1,kokanee,,75000,,,,,,,,1052
Upper Priest Lake,,-116.89,48.78,Idaho,1969,,Kootenay Lake,,-116.87,49.6,2,kokanee,,100000,,,,,,,,1054
Warm Lake,,-115.67,44.64,Idaho,1969,,Kootenay Lake,,-116.87,49.6,1,kokanee,,75000,,,,,,,,1055
Coeur D Alene Lake,,-116.8,47.54,Idaho,1974,,Kootenay Lake,,-116.87,49.6,3,kokanee,,,,,,,,,,1019
